"categoryId","categoryTitle","chargeId","chargeCode","chargeTitle","degreeId","degreeLabel","sourceCode","classification","tags","liabilityId","liabilityLabel","liabilityFineMultiplier","liabilityTimeMultiplier","baseFine","baseTime","baseSeverity","minFine","minTime","minSeverity","maxFine","maxTime","maxSeverity","mitigatingAppliedForMin","aggravatingAppliedForMax","modifierIds"
"offenses-against-persons","Offenses Against Persons","assault","EF-PC-01-001","Assault","assault","Assault","PC-1001","misdemeanor","misdemeanor;person;victim-specific;violent","principal","Principal Actor","1","1","200","5","64.14","120","2","30.95","1500","16","198.73","cooperation;minor-injury;voluntary-surrender;first-offense","public-servant-victim;weapon-used;multiple-victims;prior-conviction:four-plus-priors","public-servant-victim;cooperation;minor-injury;weapon-used;multiple-victims;prior-conviction;voluntary-surrender;first-offense"
"offenses-against-persons","Offenses Against Persons","assault","EF-PC-01-001","Assault","aggravated-assault","Aggravated Assault","PC-1003","felony","felony;person;victim-specific;violent","principal","Principal Actor","1","1","325","15","168.03","195","6","73.96","2312","47","518.08","cooperation;medical-aid-rendered;voluntary-surrender;first-offense","public-servant-victim;firearm-discharged;multiple-victims;prior-conviction:four-plus-priors;on-release","public-servant-victim;cooperation;firearm-discharged;multiple-victims;medical-aid-rendered;prior-conviction;on-release;voluntary-surrender;first-offense"
"offenses-against-persons","Offenses Against Persons","battery","EF-PC-01-002","Battery","battery","Battery","PC-1005","misdemeanor","misdemeanor;person;victim-specific;violent","principal","Principal Actor","1","1","275","15","166.58","165","4","52.85","1550","30","339.37","cooperation;minor-injury;medical-aid-rendered;voluntary-surrender;first-offense","public-servant-victim;multiple-victims;prior-conviction:four-plus-priors","public-servant-victim;cooperation;minor-injury;multiple-victims;medical-aid-rendered;prior-conviction;voluntary-surrender;first-offense"
"offenses-against-persons","Offenses Against Persons","battery","EF-PC-01-002","Battery","aggravated-battery","Aggravated Battery","PC-1006","felony","felony;person;victim-specific;violent","principal","Principal Actor","1","1","375","20","219.36","225","8","95","2688","53","581.85","cooperation;medical-aid-rendered;voluntary-surrender;first-offense","public-servant-victim;multiple-victims;prior-conviction:four-plus-priors;firearm-discharged;on-release","public-servant-victim;cooperation;multiple-victims;medical-aid-rendered;prior-conviction;voluntary-surrender;first-offense;firearm-discharged;on-release"
"offenses-against-persons","Offenses Against Persons","manslaughter","EF-PC-01-003","Manslaughter","involuntary-manslaughter","Involuntary Manslaughter","PC-1007","felony","felony;homicide;person;vehicle-related;victim-specific;violent","principal","Principal Actor","1","1","750","20","227.39","450","8","101.21","1750","31","351.83","cooperation;medical-aid-rendered;voluntary-surrender;first-offense","multiple-victims;prior-conviction:four-plus-priors","cooperation;multiple-victims;medical-aid-rendered;prior-conviction;voluntary-surrender;first-offense"
"offenses-against-persons","Offenses Against Persons","manslaughter","EF-PC-01-003","Manslaughter","vehicular-manslaughter","Vehicular Manslaughter","PC-1008","felony","felony;homicide;person;vehicle-related;victim-specific;violent","principal","Principal Actor","1","1","750","25","277.39","450","10","121.21","1750","38","421.83","cooperation;medical-aid-rendered;voluntary-surrender;first-offense","multiple-victims;prior-conviction:four-plus-priors","cooperation;multiple-victims;medical-aid-rendered;prior-conviction;voluntary-surrender;first-offense"
"offenses-against-persons","Offenses Against Persons","murder","EF-PC-01-004","Murder","second-degree-murder","Second Degree Murder","PC-1010","felony","felony;homicide;person;victim-specific;violent","principal","Principal Actor","1","1","3000","50","554.77","1530","17","209.12","9000","101","1104.87","cooperation;medical-aid-rendered;minimal-participation;voluntary-surrender;first-offense","public-servant-victim;multiple-victims;firearm-discharged;prior-conviction:four-plus-priors;on-release","public-servant-victim;cooperation;multiple-victims;firearm-discharged;medical-aid-rendered;prior-conviction;on-release;minimal-participation;voluntary-surrender;first-offense"
"offenses-against-persons","Offenses Against Persons","murder","EF-PC-01-004","Murder","second-degree-murder","Second Degree Murder","PC-1010","felony","felony;homicide;person;victim-specific;violent","accessory","Accessory","0.2857","0.625","857.1","31.25","341.77","437","10","120.9","3642","73","790.35","cooperation;medical-aid-rendered;minimal-participation;voluntary-surrender;first-offense","public-servant-victim;multiple-victims;firearm-discharged;prior-conviction:four-plus-priors;on-release","public-servant-victim;cooperation;multiple-victims;firearm-discharged;medical-aid-rendered;prior-conviction;on-release;minimal-participation;voluntary-surrender;first-offense"
"offenses-against-persons","Offenses Against Persons","murder","EF-PC-01-004","Murder","second-degree-murder","Second Degree Murder","PC-1010","felony","felony;homicide;person;victim-specific;violent","attempted","Attempted","0.8571","0.75","2571.3","37.5","425.71","1311","14","176.21","7929","84","929.04","cooperation;medical-aid-rendered;minimal-participation;voluntary-surrender;first-offense","public-servant-victim;multiple-victims;firearm-discharged;prior-conviction:four-plus-priors;on-release","public-servant-victim;cooperation;multiple-victims;firearm-discharged;medical-aid-rendered;prior-conviction;on-release;minimal-participation;voluntary-surrender;first-offense"
"offenses-against-persons","Offenses Against Persons","murder","EF-PC-01-004","Murder","second-degree-murder","Second Degree Murder","PC-1010","felony","felony;homicide;person;victim-specific;violent","conspiracy","Conspiracy","0.65","0.65","1950","32.5","369.16","994","11","141.53","6375","74","819.84","cooperation;medical-aid-rendered;minimal-participation;voluntary-surrender;first-offense","public-servant-victim;multiple-victims;firearm-discharged;prior-conviction:four-plus-priors;on-release","public-servant-victim;cooperation;multiple-victims;firearm-discharged;medical-aid-rendered;prior-conviction;on-release;minimal-participation;voluntary-surrender;first-offense"
